cancel vt.取消
poniard n．匕首,短剑
confluence n．合流，汇流
resolve vt.解决；决心n.决心
obese adj．极肥胖的
beatific adj．祝福的，有福的
suede n．表面粗糙的软皮革
tie vt.（用绳，线）系，拴，扎n.领带，绳子，结；关系
tin n.（英）罐头，听头
tip n.&v.顶端，尖端；告诫；提示(给)小费
laugh n.&v.笑，大笑；嘲笑
fantasy n幻想，梦想
cinder n.余烬，矿渣
deform vt.损坏…的形状
erode v．腐蚀,侵蚀
sane adj．神志清楚的，明智的
sand n.沙，沙子
frustrate v．挫败，使沮丧
aside ad.在旁边
gorgeous adj．美丽的，极好的
erosion n．腐蚀,侵蚀
harm n.&v.伤害；损伤
embezzle v.盗用,侵吞
intransigence n．不妥协，不让步
provided conj.以…为条件
harp n.竖琴；天琴座
aboriginal n．原始居民，土著
emollient n．润肤剂
regale v．款待，使…享受
abstracted adj．心不在焉的
muster v．召集，聚集
flannel n.法兰绒；法兰绒衣服
motivate v．促使，激发
hedonism n．享乐主义，享乐
hard ad.努力地；使劲；猛烈地a.硬的；困难的；艰难的
dissident n．唱反调者
fluffy adj．有绒毛的，空洞的
hare n.野兔
immolate v．牺牲，焚祭
pasture n.牧场；牲畜饲养
hypochondriac n．忧郁症患者的
iridescent adj．闪光的，现晕光的
requite v．报答，报复
haggard adj．憔悴的，消瘦的
omnivorous adj．杂食的，兴趣广泛的
permit vt.许可,允许;执照n.许可证
suitable a.合适的，适宜的
foolproof adj．错不了的，容易懂的
romance n.传奇；浪漫文学
fountain n.喷泉
blow(blew,blown) v.吹；刮风；吹气
impeach v．指摘，弹劾
atlas n.地图集
catalog n.目录，目录册
immortal adj．不朽的，流芳百世的
sate v．使心满意足，使厌足
conjecture v．n．推测，臆测
sash n．腰带,肩带．
struck vt.擦（打）火,侵袭
block n.大块；（木、石等）块；街区；路障vt.阻塞；阻挡
hate vt.&n.恨，讨厌
carrion n．腐肉
conceit n．自负，自大
indelible adj．擦试不掉的，不可磨灭的
exertion n.努力，用力
propose vt.提议vi.求婚
fallow n．adj.休闲地,休闲的
podium n．讲坛,指挥台
microscopic adj．极小的，显微镜的
compressor n．压缩机
save vt.救，挽救，节省
puerility n．稚气,幼稚
toe n.脚趾
mandatory adj．命令的，强迫的
ton n.（重量单位）吨
scrap n．小片、碎屑v．废弃
top n.顶部,（物体的）上面
too ad.也,还,又,太,过分,很,非常
orderly a.整洁的；有秩序的
have v.有
shorts n.短裤；运动短裤
forfeiture n．（名誉等）丧失
tow vt.&n.拖引，牵引
jagged adj．锯齿状的，不整齐的
toy n.玩具,玩物
energetic a.精力旺盛的
haul vt.拖曳；拖运
famous a.著名的
spirit n.精神
hallowed adj．神圣的
reclaim v．纠正，开垦（土地）
sarcastic adj．讽剌的
admonitory adj．警告的
disable vt.使无能，使伤残
regard v.把……看作
reverberate v．起回声，反响
academic a./n.学术的，教学的
coral n.珊瑚；珊瑚虫
subscript a.写在下方的n.下标
patriot n.爱国者，爱国主义者
pardon n.原谅,宽恕,对不起
cleaver n.切肉刀
obligation n．责任，债务
violation n.违犯；侵犯，妨碍
try v.试，试图，努力
metabolism n．新陈代谢
hawk n.鹰
voracity n．贪食，贪婪
patriotic a.爱国的
avocation n.副业,嗜好
impenitent adj．不悔悟的
exterior a.外部的；对外的
scenery n.风景，景色，风光
imperceptible adj．觉察不到的
jelly n.冻，果子冻；胶状物
direction n.方向；方位
Ashland .阿什兰德（城镇名）
alcoholic a./n.含酒精的，酒鬼
inspector n.警官；监督员
probe v．探索,探测
charades n．用动作等表演的字谜游戏
stable a.稳固的，牢固的
respond v.回答,回应,作出反应
narcissism n．自恋，自爱
incident n.事件
interlock v．连锁,连串
tub n．桶，浴盆
caught v.接住；捉住；赶上；染上（疾病）
tug vi.用力拖n.猛拉，拖
concert n.音乐会；演奏会
clamour n.吵闹、喧哗
concern v./n.涉及，关心
refrain v．抑制，避免n．歌曲的反复句，叠句
state n.状态；情形；国家，（美国的）州
jumble v．n．揉杂，混杂
environmental a.环境的，环境产生的
probable a.很可能,很有希望的
opposite n.相反，对面a.相反的，对面的
watchful a.注意的，警惕的
stereotype n．固定形式，老套
probably ad.很可能，大概
concurrent adj．同时发生的，一致的
manly a.男子气概的，果断的
battery n.电池
untrue a.不真实的，假的
two num.二
moment n.片刻，瞬间
A.M. n.午前，上午
teat n．奶嘴，奶头
tear n.眼泪v.扯破,撕开
mettle n．勇气，斗志
attack vt./n.攻击，袭击
humour (美humor)n.幽默,幽默感
attach v.把…固定，重视
invigilate v．监考．
inclination n．斜坡，爱好
stench n．臭气，恶臭
participate v.参加，参与
harbour(美harbor) n.港口
rapacious adj．强夺的，贪婪的
lottery n．彩票，抽彩给奖法
team n.队，组
reflective adj．深思熟虑的
speech n.演讲
violinist n.提琴家，提琴手
watch vt.观看，注视；当心，注意n.手表，表
comatose adj.昏迷的
purple n./a.紫色
huffy adj．愤怒的，暴躁的
cabinet n.橱，柜；内阁
ostensible adj．表面上的，伪装的
tedious adj．冗长的，沉闷的
participant n.参加者a.有份的
dying a.垂死的；临终的
chrysanthemum n．菊，菊花
slovenly adj．不整洁的，马虎的
This way,please.请走这边
lackadaisical adj．无精打采的，无兴趣的
minaret n．叫拜楼（伊斯兰教寺院的尖塔）
eastern a.东方的；东部的
reflection n．反射
ultimate adj．最后的，最终的
campus n.校园，学校场地
prosecute v．告发,检举
misunderstand (-stood,-stood)v.误会；不理解
surprising a.惊人的；出人意外的
rashness n．轻率，鲁莽
arboreal adj．树木的．
carnivorous adj．食肉的。
purgative n．泻药
Italian a.意大利(人)的；意大利语的n.意大利人；意大利语
scientist n.科学家
concept n.概念
house n.房子；住宅
stark adj．（外表）僵硬的，完全的
stare vi.盯，凝视
agnostic adj．不可知论的
intermingle v．混合,搀杂
unjust a.非正义的；不公平的
start v.开始，着手；出发
restorative adj．恢复健康的，恢复的
teem v．充满，到处都是v．倾盆大雨
bypass v．规避，绕过
declassify v．撤销保密
dishonour n.不光彩；丢脸的人
recipient a.接受的,感受性强的n.接受者,感受者,容器
commonwealth n.共和国；联邦
stash v．藏匿，隐藏
inundate v．淹没，泛滥
downward ad.向下
measured adj．精确的，慎重的
taxonomy n．（动植物的）分类学
climb v.爬，攀登
golden a.金(黄)色的
attain v.（经过努力）获得,得到
vesture n．衣服，覆盖物
epidermis n．表皮，外皮
plaintiff n．原告
warmth n.暖和，温暖
anathema n（基督教的）咒诅
destroy vt.破坏，毁坏
priority n．在先,居前,优先权
inlet n.进口，水湾vt.引进
prudish adj．过分守礼的，假道学的
vagary n．奇想，异想天开
reticulation n．网目，网状
tonic n．增进健康之物，补品
spatula n．（调拌等用的）抹刀，刮刀
consume v.消耗，耗费（燃料，能量，时间等）
psychoanalysis n．精神分析
unknown a.不知道的
competence n.能力,胜任,管辖权
waddle v．（鸭子等）摇摇摆摆地走
consult v.咨询，商量
unadvised adj．草率的，鲁莽的
survive v.生存，存活，幸免于难
hound n．猎狗。v．不断骚扰
blown v.吹；刮风；吹气
adversary n对手，敌手
suitor n．求婚者，（法律）原告
pipeline n.管道，管线
idleness n.懒惰；赋闲无事
incubation n．孵卵期，潜伏期
satire n．讽剌（作品）
cling vi.粘住；依附；坚持
projectile n．抛射物,发射体
satiny adj．光滑的，柔细的
outlaw n.逃犯，歹徒
friendly a.友好的
sixteenth num.第十六
tell (told,told)vt.告诉,讲述,吩咐
irrigate vt.灌溉
purgation n．净化,洗罪
appetizing adj开胃的
solecism n．文法错误，举止失礼
infusion n．灌输。激励
bloom n.花；开花，开花期
prompting n．激励,鼓舞
celebrated adj．有名的，知名的．
exhort v.力劝,勉励
housework n.家务劳动
Newquay n.纽基（英国）
accustomed a.习惯于,惯常的
living-room n.起居室
cynosure n．注意的焦点
harrow n．耙
island n.岛
format n.安排，计划，设计
water n.水v.浇水
fried a.油煎的
formal a.正式的；礼仪上的
fidget v．坐立不安n．烦躁之人
grassy a.草多的；草似的
instructor n.指导者，教员
salesman n.男售货员
entertain vt.使欢乐；招待
tent n.帐篷
gulch n．深谷，峡谷
San Franciscon.旧金山
reactor n.反应器；反应堆
logistics n．后勤学
elsewhere ad.在别处，向别处
tend v.往往会，常常就，倾向，趋于
exceedingly adv.过份地
somber adj．忧郁的，阴暗的
sixteen num.十六
cynicism n．愤世嫉俗，犬儒主义
subscribe v.订阅,订购（报刊等）
therapy n．疗法
chromosome n．染色体
illiberal adj．气量狭窄的，吝啬的
paltry adj．无价值的，微不足道的
tongs n．夹子，钳子
velocity n．速度，迅速
fellowship n.伙伴关系；联谊会
colleague n.同事
diamond n.钻石，金刚石；纸牌中的方块
build v.建立；建造；建设
indocile adj．不听话的，难顺服的
trumpery adj．中看不中用的，无价值的
disreputable adj．品格不端的，见不得人的
wireless a.不用电线的，无线的
labour(美labor) n.劳动
encapsulate v．装入胶囊,压缩
tolerate v.容许，允许，忍受
electronics n.电子学
stack n.堆，垛vt.堆积
resent v．憎恶，愤恨
chopsticks n.筷子
exemption n.免除
stunning adj．极富魅力的
credulous adj．轻信的，易信的
botanical a.植物学的
cube n.立方体
railway n.铁路；铁道
reimbursement n．偿还（的款项）
adjudicate v．充当裁判，判决
announcement n.通告，通知
apparition n．幽灵，神奇的现象
spleenish adj．脾气坏的，易怒的
conservatory n．温室，音乐学院
grate v．磨碎，使人烦燥
scavenge v．（在废物中）寻觅，（动物）食腐肉
pancake n.薄煎饼
paralysis n．瘫痪，中风
Arab *a.阿拉伯的n.阿拉伯人
supine adj．仰卧的，懒散的
Here youare.给你
epicurean adj．好享乐的享乐主义的
mildew n．霉（因温湿而生）
nascent adj．初生的，萌芽的
stockade n．栅栏，围栏
influential a.有影响的；有权势的
amenity n．愉快，适意
Bible n.基督教《圣经》
ladies'room .（妇女用）公共厕所
transparent a.透明的，清澈的
grasp v.抓住；紧握
composition n.作文；作曲
prefigure v．预示,预想
grass n.草；草场；牧草
hotel n.旅馆，饭店，宾馆
NewYork n.纽约
term n.学期;术语;条款;项
acquisition n.获得，得到
deadline n.最后期限，截止日期
rigid a.死板的,僵硬的,固执的
oligarchy n．寡头政治
advent n．到来，来临
staff n.全体职工（雇员）
possible a.可能的
right n.权利a.对,正确的ad.正确地,恰恰,完全地a.右,右边的
herbaceous adj．草本植物的
stage n.舞台；阶段
lucubrate v．刻苦攻读，埋头苦干
clairvoyance n.超人的洞察力
complicated a.复杂的，难懂的
ruminate v．反刍，再嚼，深思
waiter n.（餐厅）男服务员
think(thought) v.想；认为；考虑
under ad.&prep.在…下面，向…下面
finch n．雀科鸣禽（如燕雀，金丝雀等）
penguin n.企鹅
masterpiece n.杰作，名著
tolerant a.容忍的；有耐力的
rigor n．严厉，酷厉
impudent adj．鲁莽的，冒失的，无礼的
layoff n.临时解雇,操作停止,活动停止期间,失业期
adamant adj．强硬的，固执的
later a.晚些的，迟些的
passport n.护照
depravity n．堕落，恶习
considerate a.体贴的
leviathan n．大海兽，巨大之物
midst n.中部，中间，当中
highway n.公路,主要交通道路
cuff n．袖口，v．用手轻拍
possibly ad.可能地；也许
emancipation n.释放,解脱
parcel n.包裹
test vt.&n.测试,考查，试验
thereafter ad.此后，以后
grape n.葡萄
conviction n．判罪，坚信
graph n.图表，曲线图
sermon n.布道，讲道，说教
feast n.盛宴，宴会，（宗教的）节日
sodium n.钠
propagation n.繁殖；传播；蔓延
petrol n.石油
imbibe v．饮，吸入
puzzled a.迷惑的，困惑的
final a.最后的；终极的
paradise n.伊甸乐园；天堂
nude adj．赤裸的，n．裸体者
occasion n.场合，时刻；时机
loan n.贷款；暂借vt.借出
lathe n．车床
vegetate v．象植物般生活，无所事事
training n.培训
expectation n.预料；期望
declamation n．高声说话，高调
duration n．持续的时间
﻿an art.一（个、件……）
load n.担子，货物
hermitage n．隐居处
ignore v.忽视，对…不理会
loaf n.一个面包
applaud v./n.鼓掌,赞许,赞赏
loam n．沃土
lunar a.月亮的
priest n.教士，牧师，神父
grand a.宏伟的
permeate v．扩散，渗透
schedule n.工作计划，日程安排v.安排时间，预定
insurgent adj．叛乱的,起事的n叛乱分子
patina n．绿锈，光亮的外表
overwhelming adj．巨大的，压倒性的
adverb n.副词
grant n.授给物vt.授予
lunch n.午餐，午饭
helping n．一份或一客食物
invincible adj．不可征服的，难以制服的
estrangement n.疏远
December n.12月
stale adj．不新鲜的，陈腐的
stalk v．隐伏跟踪（猎物）
iconoclast n．攻击传统观念或风俗的人
lock n.锁vt.锁，锁上
text n.文本，课文
pitch n．沥青,柏油
ruminant adj．（动物）反刍的，沉思的
electrical a.电的；电器的
stall n.货摊，书摊；厩
transmogrify v．变得古怪，变形
menace v．n．威胁，危险
dulcet adj．（声音）悦耳的，美妙的
plethora n．过量,过剩
birthplace n.出生地；故乡
lobe n．耳垂，（肺，肝等的）叶
deflect v．偏离，转向
interval n.间歇；间隔
rebuff v．断然拒绝
familiarity n．精通,亲近,不拘礼仪
leave...behind .把……遗留在（留下）
stamp n.邮票
disseminate v．散布，传播
exodus v.大批离去,成群外出
government n.政府
cult n．宗派，崇拜
digression n．离题，枝节话
sewer n．排水沟，下水道
accumulate v.积累，积聚
brim n．（杯）边，缘v．盈满
dwarf n．侏儒，矮小的植物v．阻碍…的正常发育
stand (stood,stood)v.站；立；起立；坐落；经受；持久
surround vt.围绕；包围
touchy adj．敏感的，易发脾气的
forward ad.将来.今后.向前，前进
Pacific a.太平洋的
scaffold n．脚手架（造房时搭的架子）
succor v．n．救助，援助
pantomime n．哑剧
comparable a.可比较的；类似的
subject a.隶属的；受支配的；易受…的；在…条件下vt.使隶属；使服从；使受到n.题目；主题；学科；主语；主体
use n.&vt.利用,使用,应用
nursing n.(职业性的）保育,护理
monopoly n．专利权，垄断
sapling n．树苗，年轻人
continuous a.连续不断的，持续的
stagy adj．不自然的，演戏一般的
grain n.谷物，谷类
drabness n．乏味
oxygen n.氧；氧气
combine vt.使联合；使结合
alter vt.改变，变更；改做
waste n.&vt.浪费
loft n．阁楼，顶楼
disport v．玩耍、嬉戏
establishment n．建立，团体，公司
numb a.麻木的，失去知觉的，迟钝的
creditable adj．值得称赞的，可信的
staid adj．稳重的，沉着的
originate vi.发源vt.首创
pithy adj．(讲话或文章)简练的
dispose vi.去掉，丢掉；销毁
nonetheless ad.[nevertheless]虽然如此,但是
bumper n．汽车前后的保险杆
stair n.楼梯
graft v．嫁接，移植，n．贪污
Canadian a.加拿大的；加拿大人的n.加拿大人
paradigm n．范
transformer n.变压器，转换器
augury n.预言,征兆,占卜
stain n.污点，污渍，染色剂
syringe n．注射器
antithetic adj．对立的
napkin n.餐巾(纸)
reckless adj．轻率的，鲁莽的
smoking n.吸烟,抽烟;冒烟
paradox n．矛盾、似矛盾而正确的说法
X-ray n.X射线；X光
mania n．癫狂，狂热
sobriety n．节制，清醒
rebuke v．指责，谴责
banal adj.陈腐的
thread n.线
eugenic adj．优生(学)的
tyrannical adj．暴虐的，残暴的
stake n．柱子，赌注
outdoor adj.户外的；野外的
witness v./n.目击者，见证人
jibe v．与…一致，符合
conform vt.使遵守vi.一致
threat n.威胁，恐吓，凶兆
curl n.卷毛；螺旋vi.卷曲
inform vt.告诉；通知
hotdog n.热狗(红肠面包)
empirical adj．经验的、实证的
curd n．凝乳
cure n.&vt.治疗；医好
sorrow n.悲伤，悲痛
curb n．马勒v．控制
observer n.观察员，观测者
entrenched adj．(权力,风俗等)确立的,确定的
reassure v．使安心，安慰
brow n.额；眉，眉毛
divulge v．泄露，透露
drawing n.图画，素描,绘画
dependant n.受赡养者；侍从
curt adj．（言词、行为）简略而草率的
palette n．调色板
vexation n．困扰，苦恼
upheaval n．动乱，大变动
fairyland n．仙境
willowy adj．苗条的
fluent a.（外语）流利的，流畅
execute vt.将…处死；实施
benefit n./v.优势,益处,使…受益
reverberant adj．起回声的
unique a.惟一的,独一无二的
miscreant n．恶棍，歹徒
shelter n.掩蔽；隐蔽处
safari n．狩猎旅行，长途考察
scab n．创口上所结的疤，痂
examine vt.检查；诊察
scan v.略读，浏览，扫描
industry n.工业，产业
long a.长的，远ad.长久
tangent n．切线
nought n.无，零
bother vt.烦扰，迷惑n.麻烦
wolf （复wolves）n.狼
lasso n．套索（捕捉牛、马用）
eccentricity n．反常，怪癖
valour n．英勇（
loll v．懒洋洋地坐或卧
extensive a.广阔的；广泛的
impostor n．冒充者，骗子
agent n.代理人，经济人
wool n.木头；木材
bishop n.主教
odious adj．可憎的，讨厌的
rapid a.快的，迅速的
seven num.七
lope n．轻快的步伐，v．轻快地迈着大步
arena n．竞技场
Iceland *n.冰岛
loon n．愚人，懒人
hinterland n．内地，穷乡僻壤
loom n．织布机，v．隐约出现
sever v．切断，脱离
loop n．圈，金属线圈
kennel n．狗舍，狗窝
wood n.木头,木材,(复)树木,森林
loot n．掠夺品，v．掠夺
internecine adj．内讧的,两败俱伤的
abrogate v．废止，废除
surprise vt.使惊奇,使诧异n.惊奇,诧异
plangent adj．如泣如诉的,悲哀的
murderer n.杀人犯，凶手
look n.看，瞧v.看，观看v.link看起来
dense a.密集的；浓厚的
vandalize v．肆意破坏
ingress n．进入
immutable adj．不变的
disrupt vt.使混乱，使崩溃，使分裂，使瓦解
scar n.伤疤，伤痕
eccentric adj．古怪的，反常的
callow adj．（鸟）未生羽毛的，（人）未成熟的。
fillet,filet n．束发带，鱼肉片
lore n．知识，全部传说
muggy adj．（天气）闷热而潮湿的
lord n.贵族；上帝，基督
revoke v．废除，取消
jurisprudence n．法律学，法学
threadbare adj．磨破的，陈腐的
cubic a.立方体的，立方形的
jargon n．行话
steamer n.轮船，汽船
politician n.政治家
lemonade n.柠檬水
layout n.布局，安排，设计
landing n.上岸，登陆，着陆
revolt v．叛乱，造反，反感
disgust n.厌恶，憎恶
intonation n.语调，声调；发声
callus n．老茧，皮肤硬厚处。
requisition n．要求，请求
mechanic n.技工，机械，机修工
gleaner n．拾落穗的人
loss n.丧失；损耗
lost adj.丢失的；失去的
workforce n.劳动力
preliminary a.预备的，初步的
Nepal n.尼泊尔
van n.大篷车，运货车
worn a.用坏,用旧的,疲惫的
magnification n．放大，扩大
obtrude v．突出，强加
worm n.软体虫,蠕虫(尤指蚯蚓)
dizzy a.头眩目晕的
work n.工作,劳动,事情vi.工作;(机器、器官等)运转,活动
lose (lost,lost)vt.失去，丢失
utilization n.利用，效用
indict v．控诉，起诉
suture n．缝线v．缝合
Belgium *n.比利时
providence n．深谋远虑,远见
terminate v．终止，结束
nymph n．年轻女神，少女
word n.词，单词；话
love n.&vt.爱；热爱;很喜欢
extension n.扩大，延伸
gender n.(生理上的)性；(名词、代词等的)性
architect n.建筑师，设计师
variability n．变化性，变化无常
stolid adj．无动于衷的，感情麻木的
lout n．粗人
falsify v．窜改,说谎
mortgage n．抵押贷款，抵押证书v．抵押
indoors ad.在室内，在屋里
verify vt．证明，证实
inaugurate v．举行就职典礼，开创
plenitude n．完全,大量
loud a.大声的
vicissitudes n．（人生的）盛衰，变迁
graze v．（动物）吃草，放牧
degenerate v．退步，堕落
lots of.许许多多的
couldmodal v.（can的过去式）可以…；（表示许可或请求）可以…，行
gaggle n．鹅群
insult vt.&n.侮辱，凌辱
avarice n.贪财,贪婪
threshold n.门槛；入门，开端
termite n．白蚁
minion n．奴才，低三下四之人
basketball n.篮球
desolate adj．荒凉的，被遗弃的
portfolio n．文件夹,股份单
thatch n．茅草屋顶，茅草
workpiece n.工(作)件
chicanery n．欺诈，欺骗
hunter n.猎人
demean v．贬抑，降低
defamatory adj．诽谤的
exploration n.探险,研究
vet n.(口语)兽医
vex vt.使烦恼，使恼火
cavity n．（牙齿等的）洞、腔
disappearance n.消失；失踪
revision n.复习，温习
qualification n.资格，学历
provision n．供应,（法律等）条款
recruit n．新兵，新成员v．征募
insertion n．插入，插入物
ineffaceable adj．抹不掉的，不能消除的
rescript n．公告，法令，重抄
scientific a.科学的
winter n.冬天，冬季
insure vt.给……保险
hard-bitten adj．不屈的，顽强的
parameter n.参(变)数；参量
extinct adj．绝种的,不存在的
February n.2月
opaque adj．不透明的，难懂的
grave n.坟墓a.严重的
tepid adj．微温的
telegram n.电报
integument n．（水果等)外壳,包在外面的皮．
instead ad.代替，顶替
improvident adj．不顾将来的，不节俭的
cloudy a.多云的，阴天的
far-reaching adj．影响深远的
mordant adj．讥讽的，尖酸的
anticipate v．预期，期待
bullion n．金条，银条
hands up.举手
sufficiently ad.足够地，充分地
smoke-free a.非吸烟的,无烟的
laptop n.膝上型电脑
handy a.便利的，顺手的hang(hanged,hanged)v.处（人）绞刑；上吊
via prep.经过（某地），通过
enclosure n．圈地，围占
haughtiness n．傲慢
absent a.缺席，不在
empire n.帝国
visual a.视力的，视觉的
vim n．精力，活力
instruct vt.通知；指示；教
Seattle n.西雅图（美国华盛顿州一城市）
retell vt.重讲，重复，复述
conundrum n．谜语
inspired adj．有创见的，有灵感的
Moslem n.伊斯兰教徒,回教徒
orchard n.果园
adolescence n.青春，青春期
pilfer v．偷窃
notch n．V字形刻痕，山间窄路
vista n．远景，展望
appropriate a.合适的，恰当的
sidle v．（偷偷地）侧身而行
acanopener 开罐器
least n.最少，最少量
resignation n．听从，辞职
arsonist n．纵火犯
subsequently ad.其后，其次，接着
measurement n.衡量，测量；尺寸
symphony n.交响乐
swimming n.游泳
clamorous adj.吵闹的，喧哗的
shiftless adj．没有决断力的，偷懒的
naughty a.顽皮的，淘气的
stagnant adj．不流动的，停滞的
annotation n．注解
density n.密集，稠密；密度
learn (learnt,learnt；--ed--ed)vt.学，学习，学会
dreary adj．沉闷的，乏味的
lease n．租约，租期，v．出租
exploit v.剥削，开发利用
flamboyant adj．艳丽的，炫耀的
sprint n．全速奔跑
entangle v．使纠缠，卷入
lethal adj．致命的
official n.（公司、团体或政府）官员,高级职员a.官方,政府的
repellent adj．令人厌恶的
suspense n．悬念，悬疑，挂念
spring n.春天,春季n.泉水,泉
assessment n.看法，评价
autonomy n.自治,自主
shack n．简陋的小屋，棚屋
implacable adj．难以满足的、难平息的
Tokyo n.东京
leave v.离去；出发
Brazil n.巴西
eulogy n.颂词，颂文
microphone n.话筒，麦克风
bourgeois a.资产阶级的；平庸的
shade n.阴凉处，树荫处
collide v.碰撞，冲突
often ad.经常，常常
catalyst n．催化剂，促使事情发展的因素
testy adj．性急的，暴躁的
alignment n.队列；结盟，联合
decimal a.小数的，十进制的
useful a.有用的，有益的
private a.私人的
anorexia n．厌食症
shady a.成荫的，阴凉的
companion n.同伴；同事
outermost a.最外面的，最远的
tortuous adj．弯弯曲曲的，蜿蜒的
encumbrance n．妨碍物，累赘
finely ad.精细地，美好地
calamity n．大灾祸，不幸之事
accomplish v.完成
engine n.发动机，引擎
busstop n。公共汽车站
linen n.亚麻布；亚麻织物
repercussion n．反应，影响，回声
bullet n.枪弹，子弹，弹丸
liner n.班船，班机
vow n.誓言，誓约，许愿
cipher n.零，无影响力的人，密码
scud v．疾行，疾驶
special a.特别的，专门的
noted a.著名的，知名的
colloquium n.学术讨论会
horizon n．地平线，（思想之）眼界
environment n.环境
undertaking n.任务，事业；许诺
Asia *n.亚洲
airplane n.（美）飞机
progressive a.进步的；向前进的
shaft n．矛柄，把柄
oblation n．宗教的供品，祭品
slightly ad.稍微，有点
electrician n.电工，电气技师
charter n．（公司）执照，宪章
apex n．顶点，最高点
psychiatric adj．精神病的
newly ad.新近，最近
rhinestone n．水晶石，莱茵石
explode v.（使）爆炸
greengrocer n.（英）蔬菜水果商
brave a.勇敢的
narrow a.狭窄的
filialpiety 孝心
decadence n．衰落，颓废
contradict v.反驳，驳斥，批驳
shape n.形状，外形v.使成型，制造，塑造
comport v.举止，行为
specify vi.指定，详细说明
gravel n．碎石，砂砾
submerge v．沉没，淹没
dissonant adj．不和谐的，不协调的
converge v．会聚，集中于一点
pertinent adj．有关的，相关的
compose vt.组成，构成；创作
giraffe n.长颈鹿
put(sth.)down .把（某物）放下来
charming a.迷人的，可爱的
brawl v．n．争吵，打架
singer n.歌唱家，歌手
bibulous adj．高度吸收的，嗜酒的
incontestable adj．无可争辩的，明确的
parquet n．镶木地板．
inertia n．惰性，懒惰
vacuum n.真空；真空吸尘器
pauper n．贫民，乞丐
administer v.施行，实施；掌管，料理...的事务；给予
surreptitious adj．鬼鬼祟祟的，保密的
transplant vt.&vi.移植，移种
share vt.分享，共同使用
spineless adj．没骨气的，懦弱的
shard n．（陶器等）碎片，破片
elegant a.文雅的,漂亮的,精美的
umpire n．裁判，v．对…进行仲裁
shark n.鲨鱼
overdose n．（药物）过度剂量
USA n.美国
imponderable adj．（重要性）无法衡量的
chairman (pl.chairmen)n.主席，会长；议长
cloudburst n.大暴雨，豪雨
supplicate v．恳求，乞求
sharp a.锋利的，尖的
hatchet n．短柄小斧v．扼杀
megalomania n．自大狂
species n.种，物种；种类
temperament n.气质，性格，性情；资质
avant-garde n.先锋派(艺术流派之一)
ignominious adj．可耻的，屈辱的
shake (shook,shaken)v.（使）动摇，震动
postbox n.邮箱
livable adj．适于居住的，（人）可相处的
degradation n.降级；退化；衰变
naked a.裸体的；无遮敝的
furlough n．休假
vandalism n．（对公物）恶意破坏
deprivation n．剥夺，丧失
introvert v．内向的人
primaryschool 小学
shale n．页岩
shall (should)v.aux.（表示将来）将要，会；……好吗
brass n.黄铜；黄铜器
impending adj．行将发生的，逼近的
activate v．使活泼，加速反应
supplicant n．乞求者，恳求者
shame n.遗憾的事；羞愧
endow vt.资助；赋予，授予
skateboard n.冰鞋，滑板
condescension n．自以为高人一等，贬低（别人）
indent v．切割成锯齿状
financial a.财政的，金融的
enormity n．极恶,暴行,巨大
ensemble n．全体,大合唱
pollute vt.污染
running n.跑步
exalt v.(高度)赞扬,歌颂
commensurate adj.同样大小的，相称的
diaphanous adj．（布）精致的，半透明的
peppery adj．胡椒味的，暴躁的
relieve vt.减轻，解除；救济
drawer n.抽屉
requirement n.需要；要求；必要的条件
transport n.&vt.运输
pencil n.铅笔
strategy n.战略；策略
neologism n．新字，新义
hiatus n．空隙，裂缝
farther adj.&adv.（far的比较级）较远；更远
maintain vt.维持；赡养；维修
bashful adj.害羞的,羞怯的
couch n．长沙发，睡椅
ramify v．分支，分叉
pivot n．枢轴,中心v旋转
remorse n．懊悔，悔恨
dissuade v．劝阻，阻止
joyful a.十分喜悦的，快乐的
granulate v．使成颗粒
aphasia n．失语症
waver v．摇摆，犹豫
prickly adj．多刺的,易生气的
prickle n．(动物或植物上的)刺,棘v．刺痛
immoral adj．不道德的，淫荡的
toothache n.牙痛
deposit v./n.订金，押金，放下，放置，储存
querulous adj．抱怨的，多牢骚的
impassive adj．无动于衷的，冷漠的
continent n.大陆，大洲；陆地
disturbance n．扰乱、骚动
another a.再一；另一；别的；不同的pron.另一个
simultaneous adj．同时发生的
guarantee v.保证，担保
enemy n.敌人；敌军
demobilize v．遣散（军人），复员
leach v．分离，过滤掉
bifurcate v．分为二支，分叉
knack n．特殊能力，窍门
heckler n．诘问别人之人
indolent adj．懒惰的，懒洋洋的
waterfall n.瀑布
anguished adj．很痛苦的
indemnify v．赔偿，偿付
mawkish adj．自作多情的，令人作呕的
stillness n.寂静，无声
porcupine n．豪猪,箭猪
effulgent adj．光辉的，灿烂的
indenture n．契约，合同
cemetery n．坟墓，公墓
arise(arose,arisen) vi.起来，升起；出现
slumber v．n．睡眠，安睡
liberation n.解放
bauxite n.铝土岩(产铝的矿土、石)
optimum adj．最好的，最有利的
consensus n.一致的意见，共识
declination n．倾斜，衰微
metric a.公制的，米制的
sarcasm n．讥讽，讽刺，嘲笑
countenance n．面容，表情v．支持，赞成
administration n.管理,行政部门
gynecocracy n．妇人政治
remains n．遗址，废墟
dwell n.居住vi.凝思，细想
incorporate v．合并，并入
operator n.接线员
clemency n.仁慈，(气候)温和
computergame 电子游戏
white a.白色的n.白色
counterpart n.对应的人(或物)
